96,0,0.510028,0.821767,-0.270627,0.409959
97,0,0.543536,0.838267,-0.174635,0.515983
98,0,0.562638,0.850056,-0.104077,0.648435
99,0,0.584306,0.862599,0.0136978,0.749407
100,0,0.612215,0.884602,0.0807121,0.865116
101,0,0.643157,0.914436,0.0552645,1.0209
102,0,0.684863,0.95237,-0.0159938,1.16138
103,0,0.721351,0.979517,-0.13907,1.25764
150,0,1.92029,0.719292,1.77337,1.6865
151,0,1.92998,0.687007,1.829,1.58788
152,0,1.95856,0.664868,1.88989,1.51755
153,0,1.97749,0.634739,1.90513,1.3926
154,0,1.9819,0.605131,1.94754,1.24369
155,0,1.99749,0.569895,2.04106,1.11493
156,0,2.01164,0.552438,2.16737,1.05267
157,0,2.03025,0.547785,2.31664,1.01178
158,0,2.04641,0.542157,2.47234,0.993317
159,0,2.07138,0.535115,2.62952,1.02096
160,0,2.08342,0.527479,2.78693,1.04958
