12,2,0.0512801,-0.243929
103,2,3.14029,-0.672576
104,2,3.14933,-0.705729
105,2,3.15558,-0.736711
106,2,3.17278,-0.771072
107,2,3.18688,-0.811644
108,2,3.2068,-0.835311
109,2,3.22792,-0.863005
215,0,4.92636,-2.14316
216,0,4.9152,-2.11725
217,0,4.89551,-2.08576
218,0,4.86923,-2.06474
219,0,4.84104,-2.04596
220,0,4.82354,-2.01115
221,0,4.81568,-1.98543
222,0,4.80324,-1.97586
223,0,4.79714,-1.97267
224,0,4.80296,-1.97466
225,0,4.81689,-1.98041
226,0,4.83346,-1.97722
227,0,4.85175,-1.97846
228,0,4.86637,-1.99256
229,0,4.88137,-2.01733
230,0,4.88385,-2.05129
231,0,4.89432,-2.07992
232,0,4.91716,-2.10424
233,0,4.94051,-2.12719
234,0,4.9699,-2.15151
235,0,5.01903,-2.17041
236,0,5.05805,-2.18721
237,0,5.09233,-2.20021
238,0,5.11301,-2.20946
239,0,5.13531,-2.22311
240,0,5.15599,-2.234
241,0,5.19016,-2.25232
242,0,5.21454,-2.26638
243,0,5.23813,-2.27669
244,0,5.24964,-2.27938
245,0,5.25686,-2.28249
246,0,5.26774,-2.28362
247,0,5.29066,-2.29959
248,0,5.29775,-2.33453
289,2,6.51275,-2.3079
290,2,6.5388,-2.34683
291,2,6.56875,-2.38236
292,2,6.59284,-2.4214
293,2,6.60808,-2.45462
294,2,6.62275,-2.48924
295,2,6.64314,-2.52465
