2,1,4
2,1,1
2,1,5
2,1,2
2,1,0
2,1,7
2,1,3
2,1,8
2,1,9
2,1,6
23,2,0
23,2,1
24,2,2
23,2,3
23,2,4
22,2,5
24,2,7
24,2,8
23,2,6
22,2,9
148,3,8
191,3,9
213,3,3
126,3,6
130,3,7
170,3,0
191,3,5
213,3,4
171,3,1
149,3,2
192,4,0
213,4,5
213,4,7
213,4,3
192,4,8
213,4,1
191,4,4
192,4,6
213,4,9
213,4,2
213,5,0
213,5,1
213,5,4
213,5,8
213,5,3
213,5,6
213,5,5
213,5,9
213,5,2
213,5,7
213,6,7
213,6,6
213,6,1
213,6,8
213,6,2
213,6,0
213,6,3
213,6,4
213,6,9
213,6,5
213,7,0
213,7,5
213,7,1
213,7,2
213,7,6
213,7,7
235,7,9
213,7,8
213,7,3
213,7,4
213,8,2
213,8,0
213,8,4
191,8,9
213,8,5
213,8,1
191,8,3
193,8,7
213,8,6
192,8,8
213,9,9
191,9,6
213,9,0
192,9,2
213,9,8
213,9,7
213,9,5
213,9,4
213,9,1
213,9,3
192,10,7
213,10,8
192,10,0
213,10,5
193,10,6
213,10,2
213,10,1
192,10,9
191,10,4
192,10,3
192,11,6
193,11,5
193,11,9
191,11,8
192,11,1
191,11,7
192,11,4
192,11,3
192,11,0
191,11,2
44,12,5
87,12,8
67,12,4
44,12,1
23,12,6
45,12,3
66,12,0
44,12,9
107,12,7
45,12,2
169,13,4
190,13,9
212,13,2
191,13,6
191,13,1
130,13,7
148,13,8
170,13,0
191,13,3
190,13,5
169,14,0
190,14,8
191,14,3
212,14,1
212,14,6
191,14,2
212,14,5
212,14,4
191,14,7
212,14,9
212,15,6
212,15,8
212,15,3
212,15,7
191,15,0
212,15,2
212,15,9
191,15,4
212,15,1
212,15,5
191,16,7
192,16,1
212,16,9
212,16,8
212,16,2
212,16,0
191,16,5
190,16,3
212,16,4
212,16,6
191,17,7
191,17,2
190,17,6
212,17,8
212,17,1
212,17,4
190,17,0
212,17,3
212,17,9
212,17,5
212,18,0
212,18,7
212,18,6
192,18,2
212,18,8
212,18,3
190,18,5
212,18,9
212,18,1
212,18,4
212,19,4
212,19,2
212,19,1
191,19,6
212,19,9
212,19,5
212,19,7
212,19,0
212,19,3
191,19,8
212,20,7
212,20,8
212,20,4
212,20,1
212,20,2
212,20,6
212,20,9
212,20,3
212,20,0
212,20,5
191,21,6
191,21,3
192,21,9
169,21,7
191,21,8
169,21,1
191,21,4
190,21,2
191,21,0
192,21,5
130,22,0
66,22,2
87,22,6
22,22,5
66,22,4
87,22,3
22,22,9
129,22,7
87,22,8
45,22,1
170,23,2
127,23,0
191,23,4
212,23,5
169,23,6
212,23,9
190,23,1
149,23,7
169,23,3
190,23,8
212,24,0
212,24,1
212,24,7
233,24,4
212,24,8
233,24,6
192,24,2
212,24,3
190,24,9
212,24,5
212,25,4
212,25,2
212,25,7
212,25,5
212,25,9
212,25,0
212,25,3
212,25,1
212,25,8
212,25,6
212,26,0
212,26,3
191,26,8
234,26,9
232,26,2
212,26,4
212,26,1
191,26,6
211,26,7
212,26,5
212,27,3
212,27,1
211,27,6
211,27,4
211,27,5
211,27,9
211,27,2
211,27,0
211,27,7
211,27,8
211,28,2
211,28,3
211,28,4
211,28,0
211,28,7
211,28,8
211,28,9
211,28,1
211,28,6
211,28,5
211,29,4
211,29,9
211,29,2
211,29,1
211,29,0
211,29,3
211,29,8
211,29,7
211,29,5
211,29,6
211,30,0
211,30,3
212,30,1
211,30,2
211,30,5
211,30,4
211,30,8
211,30,6
211,30,7
211,30,9
170,31,8
191,31,0
191,31,7
190,31,2
191,31,4
170,31,9
192,31,5
191,31,3
170,31,6
170,31,1
66,32,0
65,32,3
44,32,1
44,32,7
44,32,9
23,32,4
66,32,2
44,32,6
22,32,5
66,32,8
169,33,0
212,33,9
170,33,3
212,33,6
170,33,2
212,33,4
212,33,1
191,33,7
190,33,8
212,33,5
212,34,2
212,34,0
191,34,9
190,34,7
212,34,3
191,34,1
212,34,4
212,34,8
192,34,6
212,34,5
212,35,7
212,35,3
190,35,6
171,35,2
212,35,5
212,35,0
212,35,8
212,35,4
190,35,9
212,35,1
212,36,2
190,36,9
212,36,8
212,36,4
192,36,1
212,36,5
212,36,0
212,36,6
212,36,7
212,36,3
212,37,0
191,37,6
212,37,3
212,37,7
212,37,2
212,37,9
212,37,4
212,37,1
191,37,8
212,37,5
212,38,0
212,38,3
211,38,1
212,38,6
212,38,5
212,38,2
212,38,4
212,38,8
212,38,7
212,38,9
211,39,6
211,39,3
211,39,7
211,39,8
211,39,5
211,39,0
211,39,1
211,39,2
211,39,4
211,39,9
212,40,0
211,40,9
211,40,6
211,40,3
211,40,5
211,40,7
211,40,2
190,40,1
190,40,4
211,40,8
192,41,9
190,41,3
190,41,0
191,41,7
191,41,1
191,41,4
191,41,6
189,41,2
191,41,8
192,41,5
87,42,2
45,42,3
44,42,1
65,42,9
43,42,6
23,42,7
67,42,0
44,42,4
22,42,5
45,42,8
212,43,8
190,43,4
170,43,6
190,43,3
169,43,2
212,43,7
148,43,0
212,43,1
192,43,9
212,43,5
213,44,0
212,44,6
213,44,5
213,44,9
213,44,1
213,44,7
213,44,4
213,44,3
213,44,8
213,44,2
192,45,1
213,45,8
213,45,0
213,45,4
213,45,2
193,45,7
213,45,9
213,45,5
213,45,3
213,45,6
214,46,4
214,46,6
214,46,8
214,46,7
214,46,0
214,46,3
213,46,1
214,46,2
214,46,5
214,46,9
214,47,4
192,47,7
214,47,0
214,47,6
214,47,1
214,47,8
214,47,5
214,47,9
214,47,3
192,47,2
193,48,7
192,48,6
214,48,5
214,48,2
193,48,9
214,48,1
193,48,8
214,48,0
172,48,4
214,48,3
192,49,0
214,49,6
214,49,3
214,49,8
215,49,1
170,49,7
214,49,9
192,49,2
193,49,4
214,49,5
215,50,0
172,50,3
194,50,5
194,50,9
194,50,1
194,50,8
194,50,6
194,50,2
172,50,7
172,50,4
152,51,5
172,51,0
173,51,6
173,51,8
194,51,3
172,51,7
172,51,1
173,51,9
152,51,2
174,51,4
67,52,0
110,52,7
65,52,4
65,52,2
65,52,5
67,52,3
87,52,6
44,52,8
67,52,1
64,52,9
171,53,4
193,53,8
193,53,2
171,53,1
193,53,5
128,53,7
151,53,6
149,53,3
172,53,9
171,53,0
193,54,7
193,54,0
193,54,6
193,54,3
193,54,1
193,54,5
193,54,8
173,54,2
214,54,4
171,54,9
173,55,7
214,55,4
214,55,1
214,55,6
214,55,2
214,55,3
214,55,8
214,55,5
214,55,0
192,55,9
194,56,7
214,56,0
214,56,2
214,56,8
214,56,3
192,56,5
214,56,1
214,56,9
214,56,6
214,56,4
194,57,6
171,57,5
214,57,3
194,57,0
192,57,8
214,57,2
173,57,7
214,57,4
214,57,1
214,57,9
170,58,5
214,58,1
214,58,4
214,58,7
