1,3,0,0
2,3,0.00739605,0.0141723
3,3,0.0125835,0.0259204
4,3,0.0169037,0.0337557
5,3,0.037814,0.0370229
6,3,0.0547596,0.0468123
7,3,0.0782351,0.060514
20,8,0.102799,0.24782
21,8,0.103554,0.278357
22,8,0.0970321,0.313771
23,8,0.103149,0.336034
24,8,0.110222,0.338161
25,8,0.0952662,0.318774
26,8,0.0859543,0.293535
27,8,0.0775431,0.288505
28,8,0.067533,0.282594
29,8,0.079856,0.270988
30,8,0.103384,0.267476
31,8,0.127143,0.257641
32,8,0.155936,0.275041
33,8,0.183603,0.292383
34,8,0.197343,0.296686
35,8,0.221599,0.301876
86,1,0.781264,0.425533
87,1,0.802585,0.449382
88,1,0.819104,0.468882
89,1,0.848201,0.498553
90,1,0.867698,0.531459
91,1,0.885866,0.580129
92,1,0.902427,0.642737
93,1,0.91639,0.705943
94,1,0.941982,0.767424
95,1,0.960725,0.81569
96,1,0.964589,0.847143
97,1,0.974408,0.869206
98,1,0.97634,0.894906
99,1,0.965415,0.924671
100,1,0.95906,0.954394
101,1,0.954602,0.956734
102,1,0.950989,0.954249
103,1,0.952346,0.974025
104,1,0.945615,0.994532
107,1,0.907301,1.02777
108,1,0.900736,1.03638
109,1,0.920707,1.05099
110,1,0.949716,1.06568
111,1,0.988937,1.08134
112,1,1.02898,1.09176
113,1,1.07966,1.09785
114,1,1.14423,1.11332
172,5,2.64342,1.63218
173,5,2.65062,1.63599
174,5,2.6636,1.64949
175,5,2.69395,1.65056
176,5,2.73836,1.66203
177,5,2.76274,1.68457
178,5,2.77931,1.71704
297,1,4.93033,2.929
298,1,4.95405,2.94737
299,1,4.98117,2.96763
300,1,5.02147,2.97975
