8,5,0.095531,0.0548702
9,5,0.0982163,0.0592309
10,5,0.10228,0.076883
11,5,0.100748,0.100912
12,5,0.111077,0.123846
13,5,0.122066,0.12449
14,5,0.119242,0.123164
15,5,0.104961,0.132014
16,5,0.084186,0.143242
17,5,0.076461,0.142373
18,5,0.0673881,0.138257
19,5,0.0718733,0.141236
20,5,0.0856251,0.144229
21,5,0.0741018,0.135675
58,5,1.2686,0.913034
59,5,1.2694,0.942424
60,5,1.25608,0.97046
61,5,1.24769,0.989099
62,5,1.2435,0.986444
63,5,1.25573,0.993973
64,5,1.26122,1.00706
65,5,1.28159,1.02678
66,5,1.31577,1.042
67,5,1.33717,1.07725
68,5,1.3716,1.093
69,5,1.38867,1.1189
70,5,1.40968,1.12826
72,5,1.46032,1.13487
73,5,1.47827,1.12616
74,5,1.50071,1.12227
