36,4,0.843219,-0.731636,1.40239,-1.54198
37,4,0.852,-0.779195,1.48425,-1.40452
38,4,0.867079,-0.822286,1.56537,-1.26661
39,4,0.875932,-0.870553,1.6012,-1.11342
40,4,0.872199,-0.919185,1.6652,-1.00483
41,4,0.864883,-0.951263,1.78978,-0.918053
124,8,2.56515,-1.36886,2.72674,-2.32641
125,8,2.60429,-1.40095,2.79804,-2.20359
126,8,2.65205,-1.42876,2.89388,-2.08348
127,8,2.71116,-1.45762,2.9894,-1.95577
128,8,2.78315,-1.48649,3.08464,-1.82722
129,8,2.8454,-1.53119,3.17837,-1.69755
130,8,2.91014,-1.58877,3.2737,-1.56905
131,8,2.98847,-1.65943,3.36814,-1.4399
132,8,3.04911,-1.71756,3.46293,-1.311
133,8,3.09848,-1.77236,3.51776,-1.23651
134,8,3.15139,-1.82115,3.51621,-1.29554
135,8,3.19575,-1.85467,3.57057,-1.41851
136,8,3.23991,-1.89391,3.71578,-1.47628
137,8,3.25709,-1.92714,3.84249,-1.5644
138,8,3.27025,-1.94941,3.97778,-1.64706
139,8,3.27143,-1.96683,4.10237,-1.74634
140,8,3.29433,-1.98167,4.23209,-1.83986
196,9,4.90952,-3.75806,5.61653,-3.08563
197,9,4.96781,-3.80531,5.47374,-3.15775
198,9,5.0236,-3.84301,5.33077,-3.22959
199,9,5.07411,-3.86873,5.17626,-3.26675
200,9,5.11356,-3.89004,5.02523,-3.3186
201,9,5.14763,-3.90786,4.91776,-3.42318
202,9,5.17897,-3.92682,4.80323,-3.52974
203,9,5.20756,-3.93621,4.65396,-3.5648
204,9,5.24189,-3.94322,4.50009,-3.60399
205,9,5.26823,-3.96189,4.34358,-3.63663
232,8,5.75775,-4.59241,5.76763,-5.49652
233,8,5.77654,-4.61175,5.82978,-5.3491
234,8,5.78584,-4.63361,5.92873,-5.25883
235,8,5.79946,-4.64846,6.06137,-5.18594
236,8,5.80371,-4.66382,6.20266,-5.11164
237,8,5.79313,-4.68959,6.3458,-5.04014
238,8,5.78085,-4.70503,6.48686,-4.96464
239,8,5.7761,-4.7418,6.6293,-4.89178
240,8,5.78073,-4.77362,6.77113,-4.81774
270,8,6.3626,-4.25536,7.18841,-4.66948
271,8,6.37768,-4.22666,7.15119,-4.54394
272,8,6.39215,-4.21431,7.08827,-4.39703
273,8,6.39897,-4.19854,7.03251,-4.2471
274,8,6.41378,-4.18819,7.04282,-4.11506
275,8,6.42684,-4.19393,7.09162,-3.97235
276,8,6.43541,-4.18407,7.14734,-3.82275
277,8,6.44144,-4.16288,7.2069,-3.67425
288,8,6.51445,-3.92791,7.37595,-3.49766
289,8,6.51059,-3.9141,7.45847,-3.62849
296,8,6.43146,-3.9262,7.26674,-3.42912
297,8,6.42536,-3.92099,7.13675,-3.50109
298,8,6.43574,-3.89801,7.00056,-3.57676
299,8,6.45253,-3.86939,6.85847,-3.6097
300,8,6.45012,-3.82528,6.70266,-3.62922
