1,5,1,1,1,0
-2,7,1,1,2,0
1,-5,1,1,2,0
-5,2,1,1,2,0
1,-7,1,1,2,0
9,-3,1,1,2,0
1,5,2,1,2,0
-5,8,1,1,2,0
5,-4,1,1,2,0
5,-5,1,1,2,0
1,8,1,1,2,0
-2,7,2,1,3,0
2,-7,2,1,3,0
1,-5,2,1,3,0
-5,2,2,1,3,0
1,-7,1,1,3,0
6,-4,2,1,3,0
9,-3,2,1,3,0
1,5,3,1,3,0
5,-4,1,1,3,0
-5,8,2,1,3,0
5,-5,2,1,3,0
1,8,2,1,3,0
-2,7,3,1,4,0
2,-7,3,1,4,0
1,-5,3,1,4,0
-5,2,2,1,4,0
1,-7,1,1,4,0
6,-4,3,1,4,0
9,-3,3,1,4,0
1,5,4,1,4,0
5,-4,1,1,4,0
-5,8,3,1,4,0
5,-5,3,1,4,0
1,8,3,1,4,0
-2,7,4,1,5,0
2,-7,4,1,5,0
1,-5,4,1,5,0
-5,2,3,1,5,0
1,-7,1,1,5,0
9,-3,3,1,5,0
6,-4,4,1,5,0
1,5,5,1,5,0
5,-4,1,1,5,0
-5,8,4,1,5,0
1,7,4,1,5,0
8,-3,4,1,5,0
1,8,3,1,5,0
5,-5,4,1,5,0
-2,7,4,1,6,0
2,-7,5,1,6,0
-1,7,5,1,6,0
1,-5,5,1,6,0
-5,2,4,1,6,0
1,-7,1,1,6,0
9,-3,3,1,6,0
6,-4,5,1,6,0
2,5,6,1,6,0
1,5,5,1,6,0
-5,7,5,1,6,0
5,-4,1,1,6,0
-5,8,4,1,6,0
1,7,5,1,6,0
8,-3,5,1,6,0
1,8,3,1,6,0
5,-5,5,1,6,0
-2,7,4,1,7,0
2,-7,6,1,7,0
-1,7,6,1,7,0
1,-5,6,1,7,0
-5,2,5,1,7,0
1,-7,1,1,7,0
9,-3,3,1,7,0
2,5,7,1,7,0
6,-4,6,1,7,0
1,5,5,1,7,0
-5,7,6,1,7,0
2,7,6,1,7,0
5,-4,1,1,7,0
-5,8,4,1,7,0
1,7,5,1,7,0
8,-3,6,1,7,0
1,8,3,1,7,0
5,-5,6,1,7,0
-2,7,4,1,8,0
2,-7,7,1,8,0
-1,7,7,1,8,0
1,-5,7,1,8,0
-5,2,6,1,8,0
1,-7,1,1,8,0
6,-3,7,1,8,0
9,-3,3,1,8,0
2,5,8,1,8,0
6,-4,6,1,8,0
1,5,5,1,8,0
-5,7,7,1,8,0
2,7,7,1,8,0
5,-4,1,1,8,0
-5,8,4,1,8,0
1,7,5,1,8,0
8,-3,7,1,8,0
1,8,3,1,8,0
5,-5,7,1,8,0
-2,7,4,1,9,0
5,-6,8,1,9,0
2,-7,8,1,9,0
-1,7,8,1,9,0
1,-5,8,1,9,0
-5,2,6,1,9,0
1,-7,1,1,9,0
-4,2,7,1,9,0
6,-3,8,1,9,0
9,-3,3,1,9,0
2,5,9,1,9,0
6,-4,6,1,9,0
1,5,5,1,9,0
-5,7,8,1,9,0
2,7,8,1,9,0
5,-4,1,1,9,0
-5,8,4,1,9,0
1,7,5,1,9,0
8,-3,8,1,9,0
1,8,3,1,9,0
5,-5,7,1,9,0
-2,7,4,1,10,0
2,-7,8,1,10,0
5,-6,9,1,10,0
1,-5,8,1,10,0
-1,7,9,1,10,0
7,-3,9,1,10,0
-5,2,6,1,10,0
1,-7,1,1,10,0
-4,2,8,1,10,0
6,-3,8,1,10,0
9,-3,3,1,10,0
2,5,9,1,10,0
6,-4,6,1,10,0
1,5,5,1,10,0
3,-7,9,1,10,0
-5,7,9,1,10,0
2,7,9,1,10,0
5,-4,1,1,10,0
-5,8,4,1,10,0
1,7,5,1,10,0
2,-5,9,1,10,0
8,-3,9,1,10,0
1,8,3,1,10,0
5,-5,7,1,10,0
-2,7,4,1,11,0
2,-7,8,1,11,0
5,-6,9,1,11,0
1,-5,8,1,11,0
-1,7,9,1,11,0
7,-3,9,1,11,0
-5,2,6,1,11,0
1,-7,1,1,11,0
-4,2,9,1,11,0
6,-3,8,1,11,0
9,-3,3,1,11,0
2,5,11,1,11,0
6,-4,6,1,11,0
1,5,5,1,11,0
3,-7,9,1,11,0
-5,7,9,1,11,0
2,7,9,1,11,0
5,-4,1,1,11,0
-5,8,4,1,11,0
1,7,5,1,11,0
2,-5,9,1,11,0
8,-3,9,1,11,0
1,8,3,1,11,0
5,-5,7,1,11,0
-2,7,4,1,12,0
2,-7,8,1,12,0
5,-6,11,1,12,0
1,-5,8,1,12,0
-1,7,9,1,12,0
7,-3,11,1,12,0
-5,2,6,1,12,0
1,-7,1,1,12,0
-4,2,9,1,12,0
6,-3,8,1,12,0
3,5,12,1,12,0
9,-3,3,1,12,0
2,5,11,1,12,0
6,-4,6,1,12,0
1,5,5,1,12,0
3,-7,11,1,12,0
-5,7,11,1,12,0
2,7,11,1,12,0
5,-4,1,1,12,0
-5,8,4,1,12,0
1,7,5,1,12,0
8,-3,9,1,12,0
2,-5,11,1,12,0
1,8,3,1,12,0
5,-5,7,1,12,0
0,7,11,1,12,0
-2,7,4,1,13,0
2,-7,8,1,13,0
5,-6,12,1,13,0
1,-5,8,1,13,0
-1,7,9,1,13,0
7,-3,12,1,13,0
-5,2,6,1,13,0
1,-7,1,1,13,0
-4,2,11,1,13,0
6,-3,8,1,13,0
3,5,13,1,13,0
9,-3,3,1,13,0
2,5,11,1,13,0
6,-4,6,1,13,0
1,5,5,1,13,0
-5,6,12,1,13,0
-5,7,11,1,13,0
3,-7,12,1,13,0
2,7,12,1,13,0
5,-4,1,1,13,0
-5,8,4,1,13,0
1,7,5,1,13,0
8,-3,9,1,13,0
2,-5,12,1,13,0
1,8,3,1,13,0
5,-5,7,1,13,0
0,7,12,1,13,0
-2,7,4,1,14,0
2,-7,8,1,14,0
5,-6,13,1,14,0
1,-5,8,1,14,0
-1,7,9,1,14,0
7,-3,13,1,14,0
-5,2,6,1,14,0
1,-7,1,1,14,0
-4,2,12,1,14,0
6,-3,8,1,14,0
3,5,14,1,14,0
9,-3,3,1,14,0
2,5,11,1,14,0
6,-4,6,1,14,0
1,5,5,1,14,0
-5,6,13,1,14,0
-5,7,11,1,14,0
3,-7,13,1,14,0
2,7,13,1,14,0
5,-4,1,1,14,0
-5,8,4,1,14,0
1,7,5,1,14,0
8,-3,9,1,14,0
2,-5,13,1,14,0
1,8,3,1,14,0
5,-5,7,1,14,0
0,7,13,1,14,0
-2,7,4,1,15,0
2,-7,8,1,15,0
5,-6,14,1,15,0
1,-5,8,1,15,0
-1,7,9,1,15,0
7,-3,14,1,15,0
-5,2,6,1,15,0
1,-7,1,1,15,0
-4,2,13,1,15,0
6,-3,8,1,15,0
3,5,15,1,15,0
9,-3,3,1,15,0
2,5,11,1,15,0
6,-4,6,1,15,0
1,5,5,1,15,0
-5,6,14,1,15,0
3,7,14,1,15,0
-5,7,11,1,15,0
2,7,13,1,15,0
3,-7,14,1,15,0
5,-4,1,1,15,0
-5,8,4,1,15,0
1,7,5,1,15,0
8,-3,9,1,15,0
2,-5,14,1,15,0
1,8,3,1,15,0
5,-5,7,1,15,0
0,7,14,1,15,0
-2,7,4,1,16,0
2,-7,8,1,16,0
5,-6,14,1,16,0
1,-5,8,1,16,0
-1,7,9,1,16,0
5,-7,15,1,16,0
7,-3,15,1,16,0
-5,2,6,1,16,0
1,-7,1,1,16,0
-4,2,14,1,16,0
6,-3,8,1,16,0
3,5,16,1,16,0
4,-7,15,1,16,0
9,-3,3,1,16,0
2,5,11,1,16,0
6,-4,6,1,16,0
3,-5,15,1,16,0
1,5,5,1,16,0
-5,6,14,1,16,0
3,7,15,1,16,0
-5,7,11,1,16,0
2,7,13,1,16,0
3,-7,14,1,16,0
-4,6,15,1,16,0
5,-4,1,1,16,0
-5,8,4,1,16,0
1,7,5,1,16,0
2,-5,14,1,16,0
8,-3,15,1,16,0
1,8,3,1,16,0
5,-5,7,1,16,0
0,7,15,1,16,0
-2,7,4,1,17,0
2,-7,8,1,17,0
5,-6,14,1,17,0
1,-5,8,1,17,0
-1,7,9,1,17,0
5,-7,16,1,17,0
7,-3,16,1,17,0
-5,2,6,1,17,0
1,-7,1,1,17,0
-4,2,14,1,17,0
6,-3,8,1,17,0
3,5,17,1,17,0
-4,3,15,1,17,0
4,-7,16,1,17,0
9,-3,3,1,17,0
2,5,11,1,17,0
6,-4,6,1,17,0
3,-5,16,1,17,0
1,5,5,1,17,0
-5,6,14,1,17,0
3,7,16,1,17,0
-5,7,11,1,17,0
2,7,13,1,17,0
3,-7,14,1,17,0
-4,6,16,1,17,0
5,-4,1,1,17,0
-5,8,4,1,17,0
1,7,5,1,17,0
2,-5,14,1,17,0
8,-3,16,1,17,0
1,8,3,1,17,0
5,-5,7,1,17,0
0,7,16,1,17,0
-2,7,4,1,18,0
2,-7,8,1,18,0
5,-6,14,1,18,0
1,-5,8,1,18,0
-1,7,9,1,18,0
5,-7,17,1,18,0
7,-3,17,1,18,0
-5,2,6,1,18,0
1,-7,1,1,18,0
-4,2,14,1,18,0
4,5,18,1,18,0
6,-3,8,1,18,0
3,5,17,1,18,0
4,-7,17,1,18,0
-4,3,16,1,18,0
9,-3,3,1,18,0
2,5,11,1,18,0
6,-4,6,1,18,0
3,-5,17,1,18,0
1,5,5,1,18,0
-5,6,14,1,18,0
3,7,17,1,18,0
-5,7,11,1,18,0
2,7,13,1,18,0
3,-7,14,1,18,0
-4,6,17,1,18,0
5,-4,1,1,18,0
-5,8,4,1,18,0
1,7,5,1,18,0
2,-5,14,1,18,0
8,-3,16,1,18,0
1,8,3,1,18,0
5,-5,7,1,18,0
0,7,17,1,18,0
-2,7,4,1,19,0
2,-7,8,1,19,0
5,-6,14,1,19,0
1,-5,8,1,19,0
-1,7,9,1,19,0
5,-7,18,1,19,0
7,-3,18,1,19,0
-5,2,6,1,19,0
1,-7,1,1,19,0
-4,2,14,1,19,0
4,5,19,1,19,0
6,-3,8,1,19,0
3,5,17,1,19,0
4,-7,17,1,19,0
-4,3,17,1,19,0
9,-3,3,1,19,0
2,5,11,1,19,0
6,-4,6,1,19,0
3,-5,18,1,19,0
4,-8,18,1,19,0
1,5,5,1,19,0
-5,6,14,1,19,0
3,7,18,1,19,0
-5,7,11,1,19,0
2,7,13,1,19,0
3,-7,14,1,19,0
1,6,18,1,19,0
-4,6,18,1,19,0
5,-4,1,1,19,0
-5,8,4,1,19,0
1,7,5,1,19,0
2,-5,14,1,19,0
8,-3,17,1,19,0
1,8,3,1,19,0
5,-5,7,1,19,0
0,7,17,1,19,0
-2,7,4,1,20,0
2,-7,8,1,20,0
5,-6,14,1,20,0
1,-5,8,1,20,0
-1,7,9,1,20,0
5,-7,18,1,20,0
7,-3,19,1,20,0
-5,2,6,1,20,0
1,-7,1,1,20,0
-4,2,14,1,20,0
4,5,19,1,20,0
6,-3,8,1,20,0
3,5,17,1,20,0
4,-7,17,1,20,0
-4,3,18,1,20,0
9,-3,3,1,20,0
2,5,11,1,20,0
6,-4,6,1,20,0
3,-5,19,1,20,0
4,-8,19,1,20,0
