43,1,6
43,1,8
43,1,1
43,1,9
43,1,4
43,1,5
43,1,7
43,1,0
43,1,3
43,1,2
245,2,0
160,2,9
242,2,7
164,2,4
254,2,5
200,2,8
236,2,6
236,2,3
146,2,2
245,2,1
1224,3,7
1260,3,1
1289,3,0
1182,3,8
1013,3,4
1278,3,6
1278,3,3
1188,3,5
1170,3,9
1040,3,2
1319,4,8
1319,4,2
1298,4,7
1319,4,5
1319,4,1
1319,4,6
1319,4,4
1319,4,3
1298,4,9
1340,4,0
1337,5,2
1340,5,0
1319,5,6
1319,5,9
1319,5,1
1319,5,4
1410,5,5
1298,5,3
1319,5,8
1299,5,7
1406,6,9
1428,6,5
1406,6,7
1406,6,1
1406,6,2
1440,6,3
1373,6,4
1440,6,6
1427,6,0
1406,6,8
1508,7,7
1506,7,4
1526,7,6
1454,7,9
1470,7,1
1564,7,8
1527,7,0
1442,7,2
1484,7,3
1492,7,5
1562,8,3
1579,8,2
1592,8,9
1596,8,0
1597,8,5
1595,8,6
1560,8,7
1627,8,1
1564,8,8
1575,8,4
1626,9,7
1583,9,3
1606,9,0
1574,9,4
1587,9,8
1627,9,5
1585,9,9
1627,9,2
1587,9,6
1626,9,1
1605,10,9
1626,10,7
1625,10,6
1627,10,2
1625,10,3
1626,10,1
1627,10,8
1645,10,4
1627,10,5
1647,10,0
1601,11,8
1586,11,0
1603,11,3
1580,11,7
1584,11,1
1583,11,5
1580,11,9
1582,11,6
1587,11,4
1559,11,2
1579,12,9
1498,12,5
1557,12,0
1560,12,7
1558,12,3
1600,12,2
1537,12,6
1519,12,4
1539,12,8
1517,12,1
1561,13,9
1590,13,3
1629,13,6
1643,13,0
1601,13,2
1614,13,7
1679,13,8
1636,13,5
1641,13,4
1662,13,1
1810,14,5
1793,14,6
1777,14,7
1738,14,3
1747,14,8
1805,14,2
1676,14,9
1911,14,4
1733,14,0
1830,14,1
1887,15,0
1866,15,9
1889,15,2
1865,15,1
1865,15,3
1865,15,6
1889,15,4
1867,15,8
1866,15,7
1867,15,5
1864,16,0
1823,16,8
1888,16,4
1886,16,9
1844,16,5
1864,16,3
1865,16,7
1864,16,6
1868,16,2
1843,16,1
1845,17,8
1864,17,6
1866,17,5
1865,17,7
1864,17,3
1886,17,9
1867,17,4
1844,17,1
1886,17,0
1867,17,2
1824,18,7
1886,18,0
1845,18,8
1844,18,1
1821,18,6
1847,18,2
1822,18,3
1877,18,9
1845,18,5
1867,18,4
1845,19,8
1882,19,5
1919,19,0
1930,19,6
1882,19,2
1879,19,9
1844,19,1
1958,19,4
1877,19,7
1930,19,3
1943,20,0
2001,20,8
1950,20,2
1962,20,7
1941,20,3
1971,20,1
2015,20,5
2013,20,9
2019,20,4
2013,20,6
1955,21,1
1973,21,6
1958,21,0
1957,21,8
1971,21,4
1975,21,5
1955,21,3
1954,21,9
1972,21,2
1972,21,7
1991,22,0
1908,22,3
1887,22,6
1950,22,2
1912,22,1
1930,22,8
1891,22,4
1890,22,5
1909,22,7
1930,22,9
1954,23,6
1934,23,2
1954,23,3
1992,23,9
1956,23,5
1931,23,1
1952,23,0
1931,23,8
1935,23,7
2021,23,4
1997,24,6
2057,24,4
1998,24,7
1997,24,3
2017,24,1
2040,24,9
1999,24,5
1999,24,2
1999,24,8
1997,24,0
2034,25,7
2016,25,5
2053,25,1
2068,25,9
2017,25,2
1977,25,8
2035,25,0
2044,25,3
2035,25,4
2065,25,6
2102,26,5
2113,26,6
2063,26,8
2073,26,2
2113,26,3
2115,26,1
2114,26,9
2119,26,4
2124,26,0
2119,26,7
2171,27,0
2132,27,2
2152,27,4
2151,27,5
2129,27,9
2174,27,1
2129,27,3
2129,27,7
2128,27,6
2130,27,8
2152,28,2
2152,28,1
2114,28,8
2118,28,4
2135,28,5
2155,28,0
2113,28,9
2113,28,7
2091,28,3
2112,28,6
2118,29,2
2117,29,0
2094,29,3
2073,29,6
2077,29,5
2093,29,8
2073,29,7
2134,29,1
2118,29,4
2095,29,9
2055,30,5
2035,30,8
2137,30,1
2075,30,6
2095,30,9
2095,30,3
2150,30,0
2118,30,2
2098,30,7
2121,30,4
1971,31,8
2090,31,9
2057,31,6
2089,31,2
2069,31,1
2089,31,4
2060,31,0
2077,31,5
2090,31,7
2091,31,3
2091,32,8
1986,32,5
2040,32,7
2075,32,2
2025,32,3
2037,32,6
2045,32,1
2041,32,9
2044,32,0
2031,32,4
2265,33,1
2010,33,8
2207,33,6
2257,33,2
2188,33,9
2229,33,0
2150,33,5
2190,33,3
2208,33,7
2231,33,4
2249,34,3
2231,34,8
2253,34,4
2229,34,6
2309,34,5
2251,34,0
2297,34,2
2273,34,1
2230,34,9
2230,34,7
2293,35,5
2313,35,6
2314,35,7
2339,35,4
2297,35,2
2335,35,0
2314,35,9
2315,35,8
2373,35,1
2333,35,3
2311,36,4
2324,36,2
2287,36,3
2275,36,5
2305,36,1
2267,36,6
2287,36,8
2268,36,9
2267,36,0
2268,36,7
2327,37,1
2317,37,2
2275,37,5
2293,37,4
2251,37,8
